"","lhs","","rhs","support","confidence","coverage","lift","count"
"[1]","{Dell Desktop,ViewSonic Monitor}","=>","{HP Laptop}",0.0152516522623284,0.574712643678161,0.0265378749364515,2.96086896310881,150
"[2]","{Lenovo Desktop Computer,ViewSonic Monitor}","=>","{iMac}",0.0157600406710727,0.555555555555556,0.0283680732079309,2.16907061885228,155
"[3]","{Acer Desktop,HP Laptop}","=>","{iMac}",0.0159633960345704,0.511400651465798,0.0312150482968988,1.99667542960148,157
"[4]","{Dell Desktop,Lenovo Desktop Computer}","=>","{iMac}",0.0186070157600407,0.506925207756233,0.0367056431113371,1.97920183337934,183
"[5]","{HP Laptop,Lenovo Desktop Computer}","=>","{iMac}",0.0230808337569903,0.5,0.0461616675139807,1.95216355696705,227
"[6]","{ASUS Monitor}","=>","{iMac}",0.0276563294356889,0.499082568807339,0.0554143365531266,1.94858160548638,272
"[7]","{Dell Desktop,HP Laptop}","=>","{iMac}",0.0222674123029995,0.495475113122172,0.0449415353329944,1.93449691844246,219
"[8]","{HP Laptop,ViewSonic Monitor}","=>","{iMac}",0.0236908998474835,0.49364406779661,0.0479918657854601,1.92734791853103,233
"[9]","{ASUS 2 Monitor}","=>","{iMac}",0.0280630401626843,0.486772486772487,0.0576512455516014,1.90051901842295,276
"[10]","{iMac,ViewSonic Monitor}","=>","{HP Laptop}",0.0236908998474835,0.479423868312757,0.0494153533299441,2.4699495782378,233
"[11]","{Microsoft Office Home and Student 2016}","=>","{iMac}",0.0310116929334011,0.466360856269113,0.0664972038637519,1.82082533600902,305
"[12]","{Apple Magic Keyboard}","=>","{iMac}",0.0323335027961362,0.451063829787234,0.0716827656329436,1.76110074075325,318
"[13]","{ViewSonic Monitor}","=>","{iMac}",0.0494153533299441,0.447926267281106,0.110320284697509,1.74885067038892,486
"[14]","{CYBERPOWER Gamer Desktop,Lenovo Desktop Computer}","=>","{iMac}",0.0160650737163193,0.446327683615819,0.0359938993390951,1.74260927684064,158
"[15]","{Eluktronics Pro Gaming Laptop}","=>","{iMac}",0.0157600406710727,0.441595441595442,0.0356888662938485,1.72413305601079,155
"[16]","{Acer Desktop,iMac}","=>","{HP Laptop}",0.0159633960345704,0.43854748603352,0.0364006100660905,2.25935805402811,157
"[17]","{ViewSonic Monitor}","=>","{HP Laptop}",0.0479918657854601,0.435023041474654,0.110320284697509,2.24120042582673,472
"[18]","{Computer Game}","=>","{HP Laptop}",0.0179969496695475,0.428571428571429,0.0419928825622776,2.20796228391828,177
"[19]","{Epson Printer}","=>","{iMac}",0.0204372140315201,0.424947145877378,0.0480935434672089,1.65913266363796,201
"[20]","{CYBERPOWER Gamer Desktop,HP Laptop}","=>","{iMac}",0.0179969496695475,0.422434367541766,0.0426029486527707,1.64932195505092,177
"[21]","{Intel Desktop}","=>","{iMac}",0.0164717844433147,0.415384615384615,0.0396542958820539,1.62179741655724,162
"[22]","{Belkin Mouse Pad}","=>","{iMac}",0.0241992882562278,0.413194444444444,0.0585663446873411,1.61324627277138,238
"[23]","{HP Wireless Mouse}","=>","{HP Laptop}",0.0178952719877987,0.411214953271028,0.0435180477885104,2.11854325061318,176
"[24]","{Dell Desktop,Lenovo Desktop Computer}","=>","{HP Laptop}",0.0150482968988307,0.409972299168975,0.0367056431113371,2.11214120603817,148
"[25]","{HP Wireless Mouse}","=>","{iMac}",0.0177935943060498,0.408878504672897,0.0435180477885104,1.59639543209922,175
"[26]","{AOC Monitor}","=>","{iMac}",0.0171835282155567,0.408212560386473,0.0420945602440264,1.59379536776537,169
"[27]","{Dell Desktop,iMac}","=>","{HP Laptop}",0.0222674123029995,0.407821229050279,0.0546009150991357,2.10105908208984,219
"[28]","{Dell Desktop}","=>","{iMac}",0.0546009150991357,0.407435508345979,0.134011184544992,1.59076150241473,537
"[29]","{ASUS Chromebook}","=>","{iMac}",0.0213523131672598,0.406976744186047,0.0524656837824098,1.5889703370662,210
"[30]","{Apple Magic Keyboard}","=>","{HP Laptop}",0.0288764616166751,0.402836879432624,0.0716827656329436,2.07538015150333,284
