Lift Ranking,lhs,,rhs,support,confidence,coverage,lift,count,
[1],"{Dell Desktop,HP Laptop}",=>,{ViewSonic Monitor},0.015251652,0.339366516,0.044941535,3.076193256,150,Interpretation of Results
[2],{ASUS Chromebook},=>,{ViewSonic Monitor},0.017488561,0.333333333,0.052465684,3.021505376,172,
[3],"{Dell Desktop,ViewSonic Monitor}",=>,{HP Laptop},0.015251652,0.574712644,0.026537875,2.960868963,150,
[4],"{HP Laptop,iMac}",=>,{ViewSonic Monitor},0.0236909,0.31359354,0.075546518,2.842573699,233,
[5],"{iMac,ViewSonic Monitor}",=>,{HP Laptop},0.0236909,0.479423868,0.049415353,2.469949578,233,
[6],"{HP Laptop,Lenovo Desktop Computer}",=>,{Dell Desktop},0.015048297,0.325991189,0.046161668,2.432567032,148,
[7],"{HP Laptop,ViewSonic Monitor}",=>,{Dell Desktop},0.015251652,0.31779661,0.047991866,2.371418559,150,
[8],"{iMac,Lenovo Desktop Computer}",=>,{Dell Desktop},0.018607016,0.316608997,0.0587697,2.362556511,183,
[9],"{Dell Desktop,iMac}",=>,{Lenovo Desktop Computer},0.018607016,0.340782123,0.054600915,2.301917705,183,
[10],"{Dell Desktop,HP Laptop}",=>,{Lenovo Desktop Computer},0.015048297,0.334841629,0.044941535,2.261790811,148,
[11],"{Acer Desktop,iMac}",=>,{HP Laptop},0.015963396,0.438547486,0.03640061,2.259358054,157,
[12],{ViewSonic Monitor},=>,{HP Laptop},0.047991866,0.435023041,0.110320285,2.241200426,472,
[13],{Computer Game},=>,{HP Laptop},0.01799695,0.428571429,0.041992883,2.207962284,177,
[14],"{Lenovo Desktop Computer,ViewSonic Monitor}",=>,{iMac},0.015760041,0.555555556,0.028368073,2.169070619,155,
[15],{ASUS 2 Monitor},=>,{Lenovo Desktop Computer},0.01840366,0.319223986,0.057651246,2.156296635,181,
[16],"{iMac,ViewSonic Monitor}",=>,{Lenovo Desktop Computer},0.015760041,0.318930041,0.049415353,2.154311095,155,
[17],{HP Wireless Mouse},=>,{HP Laptop},0.017895272,0.411214953,0.043518048,2.118543251,176,
[18],"{Dell Desktop,Lenovo Desktop Computer}",=>,{HP Laptop},0.015048297,0.409972299,0.036705643,2.112141206,148,
[19],"{Dell Desktop,iMac}",=>,{HP Laptop},0.022267412,0.407821229,0.054600915,2.101059082,219,
[20],{Apple Magic Keyboard},=>,{Lenovo Desktop Computer},0.022064057,0.307801418,0.071682766,2.079139389,217,
[21],{Apple Magic Keyboard},=>,{HP Laptop},0.028876462,0.402836879,0.071682766,2.075380152,284,
[22],"{HP Laptop,iMac}",=>,{Lenovo Desktop Computer},0.023080834,0.30551817,0.075546518,2.063716482,227,
[23],"{iMac,Lenovo Desktop Computer}",=>,{HP Laptop},0.023080834,0.392733564,0.0587697,2.02332876,227,
[24],"{Acer Desktop,HP Laptop}",=>,{iMac},0.015963396,0.511400651,0.031215048,1.99667543,157,
[25],"{Dell Desktop,Lenovo Desktop Computer}",=>,{iMac},0.018607016,0.506925208,0.036705643,1.979201833,183,
[26],"{HP Laptop,Lenovo Desktop Computer}",=>,{iMac},0.023080834,0.5,0.046161668,1.952163557,227,
[27],{ASUS Monitor},=>,{iMac},0.027656329,0.499082569,0.055414337,1.948581605,272,
[28],{ASUS Chromebook},=>,{HP Laptop},0.019827148,0.377906977,0.052465684,1.946943487,195,
[29],{LG Monitor},=>,{HP Laptop},0.021657346,0.375661376,0.057651246,1.935374348,213,
[30],"{Dell Desktop,HP Laptop}",=>,{iMac},0.022267412,0.495475113,0.044941535,1.934496918,219,
